id	paper	question	part	marks	calculator	source_pages	task_summary	primary_topic	secondary_topics	method_tags	method_path	accepted_alternatives
2024-NOV-COMMON-P1-Q07-B	1	7	b	4	no	10	Find a volume formed by rotating the region under a secant curve	calculus.integration_applications	functions.trigonometric_functions	volume_of_revolution|definite_integral|trigonometric_antiderivative	Set up V = pi integral f(x)^2 dx; integrate sec^2 using tan; evaluate the bounds	-
2024-NOV-COMMON-P1-Q08-A	1	8	a	1	no	11	Express the position vector of a point dividing a segment	geometry.vectors	-	section_formula|vector_linear_combination	Write OP = OA + lambda AB; replace AB by b - a; collect coefficients	-
2024-NOV-COMMON-P1-Q08-B	1	8	b	7	no	11	Find the division parameter when two vectors are perpendicular	geometry.vectors	algebra.equations	dot_product_perpendicularity|expand_scalar_product|use_norms|solve_equation	Set OP dot AB = 0; expand using a dot b, |a|^2 and |b|^2; solve the resulting linear equation for lambda	Cosine rule followed by two Pythagorean equations
2024-NOV-COMMON-P1-Q09-A	1	9	a	6	no	12	Prove a trigonometric identity involving tan(pi/4 - theta) and double angles	geometry.trigonometric_identities	algebra.proof	tangent_difference_identity|convert_tan_to_sin_cos|rationalize_conjugate|double_angle_identity	Expand tan(pi/4 - theta); express in sine and cosine; multiply by the conjugate; use sin(2 theta) and cos(2 theta)	Sine and cosine subtraction formulae|Work entirely in tan(theta)
2024-NOV-COMMON-P1-Q09-B	1	9	b	3	no	12	Solve a trigonometric equation using the identity proved above	geometry.trigonometric_equations	-	substitution_into_identity|solve_tangent_equation|domain_filtering	Set theta = 2x; transform the equation to tan(pi/4 - 2x) = 3; solve the tangent equation; retain solutions in the domain	Direct algebraic solution
2024-NOV-COMMON-P1-Q10-A	1	10	a	3	no	13	Derive the total surface area of a hollow cylinder	geometry.solid_geometry	algebra.modelling	surface_area_decomposition|algebraic_simplification	Add outer and inner curved areas and two annular end areas; simplify	-
2024-NOV-COMMON-P1-Q10-B	1	10	b	6	no	13	Derive volume as a function of radius under a fixed surface-area constraint	calculus.optimization	geometry.solid_geometry	constraint_elimination|volume_difference|substitution|form_objective_function	Use the surface-area constraint to express h or rh in terms of r; subtract cylinder volumes; substitute and simplify to V(r)	-
2024-NOV-COMMON-P1-Q10-C	1	10	c	2	no	13	Differentiate the volume function	calculus.differentiation	-	power_rule	Differentiate V(r) term by term	-
2024-NOV-COMMON-P1-Q10-D	1	10	d	3	no	13	Find the radius parameter that maximizes volume	calculus.optimization	algebra.equations	stationary_point|solve_derivative_zero	Set dV/dr = 0 for the maximum; solve for r; compare with the required radical form	-
2024-NOV-COMMON-P1-Q10-E	1	10	e	3	no	13	Evaluate the maximum volume exactly	calculus.optimization	algebra.exact_values	substitute_critical_value|exact_radical_simplification	Substitute the maximizing radius into V(r); simplify to the requested exact form	-
2024-NOV-COMMON-P1-Q11-A	1	11	a	2	no	14	Evaluate a limit of a quotient of exponential expressions	calculus.limits	functions.exponential_functions	lhopital_rule|limit_simplification	Differentiate numerator and denominator using l'Hopital; simplify the quotient and take the limit	Divide numerator and denominator by the dominant exponential
2024-NOV-COMMON-P1-Q11-B	1	11	b(i-ii)	6	no	14	Differentiate an exponential quotient and rewrite the derivative in terms of y	calculus.differentiation	algebra.identities	quotient_rule|algebraic_rewrite|differential_relation	Apply the quotient rule; simplify; independently compute 1 - y^2 as a common fraction; identify it with dy/dx	Product rule after rewriting
2024-NOV-COMMON-P1-Q11-C	1	11	c(i-ii)	5	no	14	Obtain second and third derivatives in terms of y	calculus.differentiation	-	implicit_differentiation|chain_rule|recursive_derivatives	Differentiate the relation y' = 1 - y^2 implicitly; substitute y'; differentiate again and substitute previous relations	-
2024-NOV-COMMON-P1-Q11-D	1	11	d	4	no	14	Construct a Maclaurin series through the cubic term	calculus.series	calculus.differentiation	evaluate_derivatives_at_zero|maclaurin_formula|substitution	Evaluate y, y', y'' and y''' at zero; insert them into the Maclaurin formula through x^3	Direct expansion of exponentials
2024-NOV-COMMON-P1-Q12-A	1	12	a	6	no	15	Find all fourth roots of a complex number in polar form	number_algebra.complex_numbers	-	polar_form|de_moivre_roots|argument_enumeration	Write 16i in modulus-argument form; take the fourth root of the modulus; enumerate four arguments separated by pi/2	-
2024-NOV-COMMON-P1-Q12-B	1	12	b	3	no	15	Find the common ratio of the complex-root sequence	number_algebra.complex_numbers	number_algebra.sequences	complex_division_polar|argument_subtraction|polar_to_cartesian	Divide consecutive roots in polar form; subtract arguments; convert cis(pi/2) to i	-
2024-NOV-COMMON-P1-Q12-C	1	12	c	3	no	15	Plot the four roots on an Argand diagram	number_algebra.complex_numbers	geometry.coordinate_geometry	argand_plot|modulus_argument_geometry	Plot equal moduli with angular separation pi/2 in the correct quadrants	-
2024-NOV-COMMON-P1-Q12-D	1	12	d	3	no	15	Determine the equation whose roots are the conjugates of the original roots	number_algebra.complex_numbers	algebra.polynomials	complex_conjugation|power_of_conjugate	Conjugate the relation z^4 = 16i or raise a conjugate root to the fourth power; identify a and b	Use the product of conjugate roots
2024-NOV-COMMON-P1-Q12-E	1	12	e	5	no	15	Find the least power whose roots include the side midpoints on the Argand diagram	number_algebra.complex_numbers	geometry.coordinate_geometry	midpoint_geometry|modulus_argument|integer_angle_condition	Find midpoint modulus and argument; require p times the argument to be a multiple of 2pi; choose the least p; compute q from the modulus	-
2024-NOV-COMMON-P2-Q01-A	2	1	a(i-ii)	2	yes	3-4	Evaluate a function at both domain endpoints	functions.graphing	-	numerical_evaluation|gdc_evaluation	Enter the function in the GDC and evaluate f(0) and f(20)	Direct substitution
2024-NOV-COMMON-P2-Q01-B	2	1	b	2	yes	3-4	Find two numerical roots of a function	functions.equations	-	numerical_root|gdc_solver	Use a numerical solver or graph intersections to obtain both roots	Numerical iteration
2024-NOV-COMMON-P2-Q01-C	2	1	c	3	yes	3-4	Sketch a function from endpoints, roots and a maximum	functions.graphing	-	feature_plotting|numerical_maximum|curve_sketch	Plot the two endpoints and roots; locate the maximum numerically; draw the correct smooth shape	GDC graph trace
2024-NOV-COMMON-P2-Q02	2	2	-	4	yes	5	Find one coefficient in a binomial expansion	number_algebra.binomial_theorem	-	general_binomial_term|choose_term|coefficient_extraction	Write the general term; choose r so the power is x^6; evaluate the binomial coefficient and constants	Direct term selection
2024-NOV-COMMON-P2-Q03-A	2	3	a	2	yes	6	Normalize a discrete probability distribution	statistics.discrete_random_variables	algebra.equations	normalize_probabilities|solve_equation	Set the sum of all probabilities equal to 1; solve for k	-
2024-NOV-COMMON-P2-Q03-B	2	3	b	3	yes	6	Find the expected value of a discrete random variable	statistics.discrete_random_variables	-	discrete_expectation|weighted_sum	Substitute the normalized probabilities into E(X) = sum xP(X=x); evaluate	GDC statistics list
2024-NOV-COMMON-P2-Q04-A	2	4	a	3	yes	7-8	Find a roof angle from a given gradient	geometry.trigonometry	geometry.coordinate_geometry	gradient_to_angle|right_triangle_trigonometry	Interpret the gradient as rise/run; use tangent with the complementary angle; convert to degrees	Sine rule|Cosine rule
2024-NOV-COMMON-P2-Q04-B	2	4	b(i-ii)	5	yes	7-8	Find two roof lengths from symmetry and right-triangle geometry	geometry.trigonometry	geometry.solid_geometry	right_triangle_trigonometry|symmetry|pythagoras|length_composition	Use symmetry to halve the 700 cm span; find the diagonal rise/length by sine or Pythagoras; add the 50 cm offset; use the slope ratio for the remaining segment	Sine rule|Cosine rule
2024-NOV-COMMON-P2-Q05	2	5	-	5	yes	9	Find parameter values for which a logarithm is defined for every real x	functions.logarithmic_functions	functions.quadratics	log_domain|quadratic_positive_all_real|discriminant_condition|solve_parameter_inequality	Require the quadratic argument to be positive for all real x; impose discriminant < 0; solve the resulting quadratic inequality in r	Analyze the minimum of the quadratic
2024-NOV-COMMON-P2-Q06-A	2	6	a	3	yes	10	Find the expectation of a piecewise continuous random variable	statistics.continuous_random_variables	calculus.integration	continuous_expectation|piecewise_definite_integral	Set up integral x f(x) over each interval; evaluate and add	GDC numerical integration
2024-NOV-COMMON-P2-Q06-B	2	6	b	2	yes	10	Use a linear transformation of expectation to find a constant	statistics.expected_value	algebra.equations	linearity_of_expectation|solve_equation	Use E(c - 2X) = c - 2E(X); set equal to zero; solve for c	-
2024-NOV-COMMON-P2-Q06-C	2	6	c	3	yes	10	Find the median of a piecewise continuous distribution	statistics.continuous_random_variables	calculus.integration	locate_median_interval|cdf_equation|numerical_root	Use accumulated probability to locate the interval containing the median; set the CDF equal to 0.5; solve for m	Integrate the upper tail to 0.5
2024-NOV-COMMON-P2-Q07-A	2	7	a	3	yes	11	Count seatings in which three named people are not consecutive	statistics.combinatorics	-	permutations|complement_counting|block_method	Count all ordered placements of the three people; subtract arrangements where they occupy one consecutive block	-
2024-NOV-COMMON-P2-Q07-B	2	7	b	3	yes	11	Count seatings of six people with three named people consecutive	statistics.combinatorics	-	block_method|permutations|product_rule	Place and internally arrange the block of three; arrange the other three people in remaining seats; multiply	Treat the block and three people as four ordered items
2024-NOV-COMMON-P2-Q08-A	2	8	a	2	yes	12	Prove the product of a complex number and its conjugate equals its squared modulus	number_algebra.complex_numbers	algebra.proof	cartesian_complex_form|multiply_conjugates|modulus_identity	Write w = x + iy; multiply by x - iy; identify x^2 + y^2 as |w|^2	Polar exponential form|cis form
2024-NOV-COMMON-P2-Q08-B	2	8	b	4	yes	12	Eliminate a complex variable using a modulus condition and solve for z	number_algebra.complex_numbers	algebra.simultaneous_equations	complex_elimination|conjugate_modulus_identity|complex_division	Multiply the first equation by w; use ww* = |w|^2 and zw from the second equation; isolate z; simplify to Cartesian form	Substitute w* from one equation into the other
2024-NOV-COMMON-P2-Q09-A	2	9	a	3	yes	14	Find the parameter range for convergence of a geometric sum	number_algebra.geometric_sequences	functions.logarithmic_functions	convergence_condition|solve_log_inequality|domain_filtering	Identify the common ratio; require |r| < 1; solve the logarithmic inequality for c and exclude the stated forbidden value	-
2024-NOV-COMMON-P2-Q09-B	2	9	b	4	yes	14	Find the least n for which a geometric-series remainder is below a tolerance	number_algebra.geometric_sequences	-	infinite_geometric_sum|partial_sum|tail_bound|numerical_inequality	Compute S_infinity; form |S_infinity - S_n| < 0.1; solve numerically for n; round up to the least integer	Use the closed form for the remainder
2024-NOV-COMMON-P2-Q10-A	2	10	a(i-ii)	3	yes	15-16	Fit and interpret a linear population model	statistics.regression	functions.linear_models	linear_regression|parameter_interpretation	Use GDC linear regression to obtain slope and intercept; interpret slope as average population increase per year	-
2024-NOV-COMMON-P2-Q10-B	2	10	b	1	yes	15-16	Assess reliability of a model prediction outside the data range	statistics.regression	-	extrapolation_judgement|model_limitation	Compare the prediction year with the observed data interval; identify extrapolation as unreliable	-
2024-NOV-COMMON-P2-Q10-C	2	10	c(i-ii)	3	yes	15-16	Evaluate and interpret an exponential population model	functions.exponential_models	-	exponential_evaluation|growth_factor_interpretation	Substitute t = 100; interpret 1.005 as a 0.5 percent annual growth factor	-
2024-NOV-COMMON-P2-Q10-D	2	10	d	1	yes	15-16	Evaluate a second nonlinear population model	functions.mathematical_models	-	numerical_evaluation	Substitute t = 100 into Cecilia's model and evaluate	-
2024-NOV-COMMON-P2-Q10-E	2	10	e	3	yes	15-16	Find when two model predictions differ most	calculus.optimization	functions.mathematical_models	difference_function|numerical_maximum|domain_restriction	Form B(t) - C(t) or its absolute equivalent; use GDC optimization over the stated domain; convert t to calendar year	Solve derivative of the difference equal to zero
2024-NOV-COMMON-P2-Q10-F	2	10	f(i-ii)	2	yes	15-16	Evaluate derivatives of two population models at a given time	calculus.differentiation	functions.mathematical_models	differentiate_model|numerical_evaluation	Differentiate each model or use GDC numerical derivative; evaluate both at t = 75	-
2024-NOV-COMMON-P2-Q10-G	2	10	g	2	yes	15-16	Compare and interpret two model derivatives	calculus.rates_of_change	functions.mathematical_models	compare_derivatives|contextual_interpretation	Compare the numerical derivatives; state which model predicts faster population growth in 2075	-
2024-NOV-COMMON-P2-Q11-A	2	11	a	3	yes	17	Convert a Cartesian line equation into vector-parametric form	geometry.vectors_3d	-	parameterize_line|direction_vector|position_vector	Set the symmetric ratios equal to a parameter; solve for x, y and z; collect into r = a + lambda b	-
2024-NOV-COMMON-P2-Q11-B	2	11	b	5	yes	17	Find the minimum distance from the origin to a line	geometry.vectors_3d	calculus.optimization	point_on_line|distance_function|numerical_minimum	Parameterize a point on the line; form its distance from the origin; minimize over the parameter	Perpendicular dot product|Cross-product point-to-line distance formula
2024-NOV-COMMON-P2-Q11-C	2	11	c	3	yes	17	Verify that a plane contains a line	geometry.vectors_3d	-	substitute_parametric_line|identity_verification	Substitute the parametric coordinates of the line into the plane equation and simplify to an identity	Show direction is perpendicular to the plane normal and one point lies in the plane
2024-NOV-COMMON-P2-Q11-D	2	11	d	7	yes	17	Find a line through a point that intersects the z-axis and is parallel to a plane	geometry.vectors_3d	algebra.simultaneous_equations	unknown_intersection_point|direction_vector|dot_product_parallel_plane|parameterize_line	Represent the z-axis intersection as (0,0,z); form the direction from the given point; impose direction dot plane normal = 0; solve for z; write the line equation	Start with an unknown direction and impose both intersection and parallelism conditions
2024-NOV-COMMON-P2-Q12-A	2	12	a	4	yes	18	Differentiate a rational function with a parameter	calculus.differentiation	functions.rational_functions	quotient_rule|algebraic_simplification	Apply quotient rule carefully; expand and collect the numerator into the required form	Product rule after rewriting
2024-NOV-COMMON-P2-Q12-B	2	12	b	4	yes	18	Find parameter values for which stationary points exist	calculus.stationary_points	algebra.discriminant	numerator_zero|discriminant_condition|solve_parameter_inequality	Set the derivative numerator equal to zero; require real roots using its discriminant; solve the inequality in positive k	-
2024-NOV-COMMON-P2-Q12-C	2	12	c	1	yes	18	Identify the vertical asymptote of a rational function	functions.asymptotes	-	denominator_zero	Set the denominator equal to zero for k = 2	-
2024-NOV-COMMON-P2-Q12-D	2	12	d	4	yes	18	Find the oblique asymptote of a rational function	functions.asymptotes	algebra.polynomials	polynomial_division|limit_remainder	Divide numerator by denominator; retain the linear quotient and show the remainder term tends to zero	Compare coefficients of an assumed linear asymptote
2024-NOV-COMMON-P2-Q12-E	2	12	e	4	yes	18	Prove the derivative is greater than 2 throughout its domain	calculus.inequalities	functions.rational_functions	rewrite_derivative|positive_expression|inequality_proof	Rewrite y' as 2 + 7/(x+2)^2; note the second term is strictly positive on the domain	Contradiction from assuming y' <= 2
2024-NOV-COMMON-P2-Q12-F	2	12	f	4	yes	18	Sketch a rational curve using its asymptotes and derivative information	functions.curve_sketching	calculus.monotonicity	vertical_asymptote|oblique_asymptote|monotonicity|asymptotic_behaviour	Draw both branches relative to the vertical and oblique asymptotes; use y' > 2 to preserve increasing behaviour	GDC graph as a check
2024-NOV-COMMON-P3-Q01-A	3	1	a	2	yes	3-4	Verify the second term of a recurrence model	number_algebra.recurrence_relations	functions.mathematical_models	recurrence_iteration|substitution	Substitute T1 into T2 = 1.1T1 - 500 and simplify	-
2024-NOV-COMMON-P3-Q01-B1	3	1	b(i)	1	yes	3-4	Verify the third term of the recurrence	number_algebra.recurrence_relations	-	recurrence_iteration|substitution	Substitute T2 into the recurrence and simplify	-
2024-NOV-COMMON-P3-Q01-B2	3	1	b(ii)	2	yes	3-4	Find the fourth term of the recurrence	number_algebra.recurrence_relations	-	recurrence_iteration|substitution	Substitute T3 into the recurrence and evaluate	-
2024-NOV-COMMON-P3-Q01-C1	3	1	c(i)	2	yes	3-4	Simplify a supplied explicit expression for the recurrence	number_algebra.sequences	algebra.simplification	geometric_sum_simplification|factor_and_collect	Eliminate the denominator 0.1; collect coefficients of (1.1)^(n-1); obtain the required closed form	Common-denominator method
2024-NOV-COMMON-P3-Q01-C2	3	1	c(ii)	2	yes	3-4	Find a later term from the explicit model	number_algebra.sequences	-	explicit_formula|numerical_evaluation|rounding	Substitute n = 6 into the closed form and round to the nearest whole number	Continue recurrence iteration|Finance solver
2024-NOV-COMMON-P3-Q01-D1	3	1	d(i)	3	yes	3-4	Derive the first difference of an explicit sequence	number_algebra.sequences	algebra.proof	first_difference|substitute_explicit_formula|factorization	Form D_(n+1) - D_n; substitute both explicit terms; factor powers of 1.1; simplify	Use the recurrence to express the difference in terms of D_n
2024-NOV-COMMON-P3-Q01-D2	3	1	d(ii)	1	yes	3-4	Deduce that the sequence is strictly decreasing	number_algebra.sequences	algebra.inequalities	sign_analysis|deduction_from_result	Observe that -150(1.1)^(n-1) is negative; conclude D_(n+1) < D_n	-
2024-NOV-COMMON-P3-Q01-E	3	1	e	4	yes	3-4	Determine when the modeled population first becomes non-positive	number_algebra.exponential_models	algebra.inequalities	exponential_inequality|logarithm_both_sides|integer_threshold|context_interpretation	Solve D_n <= 0 using logarithms or a numerical threshold; distinguish start-of-year index from the year during which removal occurs	Trial and improvement|Graphical solution|Sum of first differences
2024-NOV-COMMON-P3-Q01-F	3	1	f	3	yes	3-4	Choose annual removal so the modeled sequence is constant	number_algebra.recurrence_relations	functions.mathematical_models	constant_sequence_condition|compare_coefficients|solve_equation	Rewrite C_n as (6000 - 10d)(1.1)^(n-1) + 10d; set the exponential coefficient to zero; solve for d	Set C_(n+1) - C_n = 0|Set C2 = C1 in the recurrence
2024-NOV-COMMON-P3-Q01-G	3	1	g	7	yes	3-4	Prove the explicit formula for a first-order linear recurrence	number_algebra.mathematical_induction	number_algebra.recurrence_relations	base_case|induction_hypothesis|substitute_recurrence|algebraic_induction_step|conclusion	Verify n = 1; assume the formula at n = k; substitute it into u_(k+1) = r u_k - d; simplify to the k+1 form; conclude by induction	-
2024-NOV-COMMON-P3-Q02-A1	3	2	a(i)	3	yes	5-6	Find exact roots of a palindromic quadratic	number_algebra.polynomials	algebra.quadratics	quadratic_formula|exact_radicals	Apply the quadratic formula or complete the square; retain exact roots -2 +/- sqrt(3)	Factor over radicals
2024-NOV-COMMON-P3-Q02-A2	3	2	a(ii)	2	yes	5-6	Show the two real roots are reciprocals	number_algebra.polynomials	algebra.proof	multiply_roots|reciprocal_pair	Multiply the exact roots and show the product is 1	Take the reciprocal of one root|Use Vieta's product
2024-NOV-COMMON-P3-Q02-B	3	2	b	2	yes	5-6	Show the complex roots of x^2 + 1 are reciprocals	number_algebra.complex_numbers	algebra.proof	complex_roots|complex_reciprocal|multiply_roots	Identify roots i and -i; show their product is 1 or that 1/i = -i	-
2024-NOV-COMMON-P3-Q02-C	3	2	c	2	yes	5-6	Verify the reciprocal identity for a palindromic quadratic	number_algebra.polynomials	algebra.identities	substitute_reciprocal|multiply_by_power|algebraic_identity	Evaluate p(1/x); multiply by x^2; simplify back to p(x)	Rearrange from p(x)
2024-NOV-COMMON-P3-Q02-D	3	2	d	2	yes	5-6	Prove that a nonzero root of a palindromic polynomial implies its reciprocal is a root	number_algebra.polynomials	algebra.proof	apply_palindromic_identity|nonzero_factor_argument	Substitute root alpha into p(alpha) = alpha^n p(1/alpha); use alpha != 0 to conclude p(1/alpha) = 0	Apply the identity at 1/alpha
2024-NOV-COMMON-P3-Q02-E	3	2	e	4	yes	5-6	Prove the product of two palindromic polynomials is palindromic	number_algebra.polynomials	algebra.proof	apply_palindromic_identity|multiply_functions|degree_addition	Substitute the reciprocal identities for p and q into f = pq; combine powers to x^(n+m); identify the degree n+m	Coefficient convolution
2024-NOV-COMMON-P3-Q02-F	3	2	f	6	yes	5-6	Determine two parameters in a factorization of a palindromic quartic	number_algebra.polynomials	algebra.simultaneous_equations	expand_factors|compare_coefficients|solve_simultaneous_equations	Expand the quadratic product; compare x^3 and x^2 coefficients to form equations in u and v; solve respecting u < v	Polynomial division|Evaluate the identity at two chosen x-values
2024-NOV-COMMON-P3-Q02-G	3	2	g	3	yes	5-6	Find all exact real and complex roots of the palindromic quartic	number_algebra.polynomials	number_algebra.complex_numbers	use_factorization|solve_quadratics|exact_roots	Use the factorization from part (f); solve each quadratic exactly; list two real and two complex roots	-
2024-NOV-COMMON-P3-Q02-H	3	2	h	4	yes	5-6	Prove that every odd-degree palindromic polynomial has root -1	number_algebra.polynomials	algebra.proof	substitute_minus_one|pairwise_cancellation|odd_degree_argument	Evaluate p(-1); pair symmetric coefficients with opposite signs; use odd degree to show complete cancellation	Use reciprocal-root pairing and the product of roots|Apply p(x) = x^n p(1/x) at x = -1
